Film,Year,Rated,Released,Runtime,Metascore,imdbRating,imdbVotes,imdbID,BoxOffice,A,B,D,F,Genre,S
New York Synecdoche,,,,,,,,,,5,0,2,37,Comedy,5
Night Time (The Poltergeist Treatment),,,,,,,,,,0,0,1,0,Horror,1
Nightmare on Elm Street: The Final Chapter,,,,,,,,,,3,3,2,10,Mystery,17
Pretty Woman (final script),,,,,,,,,,3,0,4,3,Romance,10
Rambo: First Blood II: The Mission,,,,,,,,,,4,4,7,12,Adventure,8
Rest & Motion Bodies,,,,,,,,,,3,0,0,19,Romance,19
Return of the Apes,,,,,,,,,,0,0,0,8,Sci-Fi,8
Robot I,,,,,,,,,,3,0,1,0,Sci-Fi,4
South Park,,,,,,,,,,25,19,12,72,Musical,20
Star Wars: A New Hope,,,,,,,,,,0,0,2,0,Sci-Fi,0
Star Wars: Attack of the Clones,,,,,,,,,,1,0,2,0,Sci-Fi,0
Star Wars: Return of the Jedi,,,,,,,,,,0,0,0,0,Sci-Fi,0
Star Wars: Revenge of the Sith,,,,,,,,,,0,0,0,0,Sci-Fi,0
Star Wars: The Empire Strikes Back,,,,,,,,,,0,0,0,0,Sci-Fi,0
Star Wars: The Phantom Menace,,,,,,,,,,0,0,0,0,Sci-Fi,0
Stock and Two Smoking Barrels Lock,,,,,,,,,,0,0,0,85,Thriller,16
"Stupid, Love Crazy",,,,,,,,,,11,1,6,4,Romance,11
Terminator 2: Judgement Day,,,,,,,,,,3,3,12,20,Sci-Fi,16
The (2012) Avengers,,,,,,,,,,7,2,4,10,Sci-Fi,6
The Adventures of Buckaroo Banzai Across the Eighth Dimension,,,,,,,,,,3,0,21,0,Sci-Fi,7
The Blast from the Past,,,,,,,,,,3,6,12,4,Romance,6
The Day the Clown Cried,,,,,,,,,,2,0,7,0,Drama,0
The Lord of the Rings: Fellowship of the Ring,,,,,,,,,,0,0,0,0,Fantasy,0
The Producer,,,,,,,,,,0,0,1,0,Musical,0
The Sandlot Kids,,,,,,,,,,2,5,5,2,Family,4
The (The Bijou) Majestic,,,,,,,,,,1,0,6,0,Romance,1
the Witch and the Wardrobe Chronicles of Narnia: The Lion,,,,,,,,,,0,0,0,0,Fantasy,0
Three Kings (Spoils of War),,,,,,,,,,9,6,9,2,War,4
Twilight: New Moon,,,,,,,,,,1,0,8,0,Horror,0
Un Singe en Hiver,,,,,,,,,,0,0,0,0,Comedy,0
Wanda June Happy Birthday,,,,,,,,,,4,7,10,10,Comedy,11
White Jazz,,,,,,,,,,13,3,6,39,Mystery,17
